NTACode,NTAName,area_km2,flood_area_km2,clim_flood_share
SI9591,Hoffman & Swinburne Islands,0.635702086907387,0.635702086907387,1.0
BX0291,North & South Brother Islands,0.9306483494684707,0.8732208412731896,0.9382930102137071
QN8081,LaGuardia Airport,30.592058759077002,26.61522412201873,0.8700043475865024
BK1302,Coney Island-Sea Gate,47.589205250106495,37.061677539445824,0.778783283828067
BK1892,McGuire Fields,10.589624725087003,8.057508899113648,0.7608871049061136
QN8191,Flushing Meadows-Corona Park,55.20788565415568,37.02444706873387,0.6706369322069287
BX1071,Hart Island,4.90515789472756,3.1917007837530194,0.6506825778602774
BK0261,Brooklyn Navy Yard,10.10690881566509,6.011457246960316,0.5947869280905083
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,52.634984662918114,31.0836408153903,0.5905509617691415
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,69.23366276463744,39.521880116832605,0.5708477428269076
QN1402,Rockaway Beach-Arverne-Edgemere,50.502589182925036,26.439819582696348,0.5235339417337374
QN8491,Jamaica Bay (East),69.92049766308062,35.71233031212762,0.5107562375229548
SI0291,Freshkills Park (North),68.17802546191915,34.511108369370724,0.5061910804185275
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,11.99323998376046,5.644920581172266,0.4706751960951181
MN0101,Financial District-Battery Park City,19.22679273833597,8.341140530203816,0.43382901369569354
QN1401,Far Rockaway-Bayswater,60.47494028386314,24.824156249683885,0.41048665998117323
BX2891,Pelham Bay Park,99.28179478064712,39.39724609111857,0.3968224605343076
SI0202,New Dorp-Midland Beach,62.1794790999381,24.300592886532215,0.3908137095757112
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,60.811673848093456,22.97892642117695,0.37787031612676747
BK1303,Brighton Beach,13.564227542484042,4.792681383624378,0.35333242299374495
QN0201,Long Island City-Hunters Point,27.595434313221485,9.326479381247719,0.3379718280708207
MN1101,East Harlem (South),16.65392466786583,5.620966081872341,0.33751600262238113
SI9592,Miller Field,10.866798475753527,3.613446179898366,0.3325216886979955
QN1491,Rockaway Community Park,8.929737013416696,2.9361239068606615,0.3288029538215081
QN0701,College Point,66.70933094403085,21.651982642069875,0.32457202516745215
BK5692,Jamaica Bay (West),39.75313919725912,12.775853353602168,0.32137973532623637
MN0601,Stuyvesant Town-Peter Cooper Village,5.575581817431441,1.76950596719789,0.3173670524689863
SI9593,Great Kills Park,23.3787274904872,7.383368458328498,0.3158156688097241
MN1191,Randall's Island,23.466539581379898,7.33876642279902,0.31273321732626247
QN0761,Fort Totten,6.957266414876397,2.0698109584714692,0.2975034783842242
QN0707,Flushing-Willets Point,38.53430915571008,11.132771343155149,0.288905434846896
SI0204,New Springville-Willowbrook-Bulls Head-Travis,209.3870694206101,59.583986282210084,0.2845638293094387
MN1102,East Harlem (North),26.11929321063118,6.882551905088204,0.2635045232497654
SI0301,Oakwood-Richmondtown,55.93741001187929,14.618667345012497,0.26133972491590096
BX0201,Hunts Point,45.02714100412229,11.688579631586606,0.25958964684247887
BX1091,Ferry Point Park-St. Raymond Cemetery,21.744043955969648,5.5805936171035535,0.25664929800564756
