NTACode,NTAName,area_km2,svc_311_density,mob_mta_delay_density,util_outage_density,clim_flood_share,z_311,z_mta,z_outage,z_flood,baseline_stress_score,baseline_rank,event_stress,event_delta,delta_rank
BK0101,Greenpoint,3.281529921409245,805.7217405668332,78.08876290276943,9.147623768825616,0.1967983888440023,-0.20160319635965343,-0.25218847728159166,-0.2722307164112254,0.5631488318503926,-0.040718389550519485,108,-0.2855364857658039,-0.1468933813898591,202
BK0102,Williamsburg,2.680535764498503,1309.812779407876,120.40291042014104,17.544500270861327,0.1520429923856739,0.11917430054135421,-0.09012872312519753,0.08213981933007974,0.3043517913815678,0.10388429703195107,89,0.0818393189420412,-0.0733785129499309,186
BK0103,South Williamsburg,1.412969583018401,513.1037558864127,291.92169752597135,14.871368176866566,0.0224706219852141,-0.3878101658186,0.5667743247304234,-0.030673469281053824,-0.4448974308299201,-0.07415168529978763,115,0.305678205747402,0.6329043377174828,16
BK0104,East Williamsburg,4.855847739564011,549.85249604217,135.82241596072708,11.745484609854524,0.0574292591050499,-0.3644251659413327,-0.03107326711974112,-0.16259407500134127,-0.24274992368268902,-0.200210607936276,132,-0.2910729204779525,0.0428652107423701,159
BK0201,Brooklyn Heights,0.927372840866212,732.1758521262932,533.6593555184842,21.579731513478887,0.0632855742995405,-0.24840400054684414,1.492609954729252,0.2524373170888905,-0.20888591709751791,0.3219393385434451,64,0.8846298858296877,1.0439906382946669,12
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2.204742046343237,959.7494652535776,860.3650986775378,7.261582832665406,0.0494960480725971,-0.10358790909732295,2.7438664616954376,-0.3518266634059314,-0.2886235322099878,0.4999570892455488,48,1.3143135112360476,1.3502726648919106,7
BK0203,Fort Greene,1.628943267366694,838.5804633995873,783.5814547147487,39.92771943077539,0.0,-0.1806936025571368,2.449791330943172,1.0267712383334193,-0.5748332805253139,0.6802589215485351,37,1.2118174528332917,1.3488760938509317,8
BK0204,Clinton Hill,1.353291215256829,1224.4223425964772,239.85506314714965,11.830263085513304,0.0,0.06483623763386898,0.3673633366272455,-0.15901619770003173,-0.5748332805253139,-0.07541247599105778,116,0.4823769588060224,0.3378650687412436,38
BK0261,Brooklyn Navy Yard,0.938966663690258,20.235010181647542,0.0,0.0,0.5947869280905083,-0.7014463750862846,-0.5512621077548129,-0.6582847848416395,2.8645083158046405,0.23837876203047587,70,-0.5251826616437709,0.208738839999012,95
BK0301,Bedford-Stuyvesant (West),3.428763021219105,1651.6160390654547,175.910849222293,42.31497507947848,0.0,0.33668023819428966,0.12246218189804253,1.1275197801247956,-0.5748332805253139,0.25295722992295344,69,-0.0030815319716363,-0.4167521545774672,222
BK0302,Bedford-Stuyvesant (East),3.835962356102785,1771.654507815483,121.10433965252726,53.212814285005905,0.0,0.4130665187875577,-0.08744230603710776,1.5874375979882709,-0.5748332805253139,0.33455713255335173,62,0.471137253027026,0.0129461571430818,166
BK0401,Bushwick (West),2.149263169670636,1715.9369090036412,183.80579706603424,35.847639480697296,0.0,0.37761071715043887,0.15269919201644314,0.8545810057599139,-0.5748332805253139,0.20251440860037054,76,0.3885619082833637,-0.1311940401368644,200
BK0402,Bushwick (East),2.595167611431207,1652.3017554288965,231.94210304086516,64.77405683215059,0.0,0.33711659266540783,0.3370573410037403,2.075352802442401,-0.5748332805253139,0.5436733638965587,44,0.8446780008386754,0.3829552125958211,32
BK0471,The Evergreens Cemetery,0.518902182398902,0.0,0.0,0.0,0.0,-0.7143228902704439,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.6246757658480525,262,-0.5251826613479207,0.228839162667788,51
BK0501,Cypress Hills,2.264891331251382,853.0210581593533,191.16494878656275,30.482721102198127,0.0,-0.17150435402090117,0.18088414642533995,0.6281671720520808,-0.5748332805253139,0.015678420982801422,97,0.2127012174782478,0.2768809940151283,43
BK0502,East New York (North),2.592655734546124,1146.3149389250805,181.3420267925959,37.04927018498749,0.0,0.01513272079145206,0.14326315163190434,0.9052930194877904,-0.5748332805253139,0.1222139028464582,85,0.2531376988286999,0.1636635775776503,119
BK0503,East New York-New Lots,4.316056440646436,1109.5777049854169,87.00028122377962,31.29678206960716,0.0,-0.00824495712427873,-0.21805808465888282,0.6625227114097083,-0.5748332805253139,-0.03465340272469178,107,-0.0795878748211191,-0.1054595456834629,195
BK0504,Spring Creek-Starrett City,2.516410438029322,373.5479657031397,0.0,2.7833487681308533,0.0259295458788112,-0.476616261550742,-0.5512621077548129,-0.5408200592525103,-0.42489628375700095,-0.49839867807876653,211,-0.5251826616056201,-0.0123655107889006,173
BK0505,East New York-City Line,2.929162566314726,1240.627625721727,99.70716834971036,22.203384007114423,0.0107604975308464,0.07514844268603815,-0.16939173724219503,0.27875711210224413,-0.5126109534915662,-0.08202428398636973,117,-0.1766530796693153,-0.2388929932122546,211
BK0571,Highland Park-Cypress Hills Cemeteries (South),0.752605749078727,17.273320082810216,0.0,0.0,0.0,-0.7033310416708877,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.6219278036981635,250,-0.5251826609246459,0.2116808172835516,92
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,5.649602279953843,528.7097838017022,132.75462613448158,18.242754715819313,0.3778703161267674,-0.3778792958258636,-0.042822653417568045,0.11160801523405907,1.6101930455330453,0.3252747778809182,63,0.2507583600566198,0.5826792855771854,18
BK0602,Park Slope,2.399850112541115,1361.751712293245,473.78542675813856,14.593248289975625,0.0,0.15222555438030974,1.2632976621610148,-0.042410868693080445,-0.5748332805253139,0.19956976683073255,79,0.378698770515637,0.1978848830746395,104
BK0701,Windsor Terrace-South Slope,1.422559194821427,918.0637296179028,351.48179068661454,7.737315473108176,0.0,-0.13011455786384762,0.7948846523976209,-0.3317494798695939,-0.5748332805253139,-0.06045316646528365,113,0.6267296631663214,0.6962508332914912,14
BK0702,Sunset Park (West),4.680359190115616,535.4289912817773,175.8620751567467,8.337928213947777,0.1823588339150844,-0.3736035392847983,0.12227538118160612,-0.30640202374197517,0.47965244086723113,-0.019519435244484046,105,0.0047079540308083,0.3487890625010242,35
BK0703,Sunset Park (Central),1.742330583178676,825.3313199476412,108.03056221944328,20.674920584241285,0.0,-0.18912467302878988,-0.13751381358269119,0.21425188782114044,-0.5748332805253139,-0.17180496982891363,127,-0.3754149279398333,-0.218995453984485,208
BK0771,Green-Wood Cemetery,1.960408701024844,14.282736036298155,0.0,0.0,0.0,-0.7052340948711942,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.6224035669982401,253,-0.5251826615176756,0.2146514948803823,88
BK0801,Prospect Heights,0.957734334080136,2345.1179727801964,211.0924013271411,8.358167000277584,0.0,0.7779890440490443,0.2572046739359918,-0.30554789309557245,-0.5748332805253139,0.038703136091037454,96,0.2467586562445236,-0.5927316867924355,233
BK0802,Crown Heights (North),3.290302175257139,3053.518936817656,9.12320726752178,57.17209887646983,0.0,1.2287788231505399,-0.5163209636307247,1.7545299449448104,-0.5748332805253139,0.4730386309848279,52,0.7077935709001257,-0.4929029613162676,225
BK0891,Lincoln Terrace Park,0.112841967575641,53.17170667002097,0.0,0.0,0.0,-0.6804871628772768,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.6162168339997608,244,-0.5251826616437709,0.1760213759912122,113
BK0901,Crown Heights (South),1.863069174592342,3012.770581225563,586.79755874211,86.46880820657397,0.0,1.2028486746207907,1.696124964625125,2.9909290486173896,-0.5748332805253139,1.3287673518344978,10,2.794640240183458,1.6286971499242406,5
BK0902,Prospect Lefferts Gardens-Wingate,2.233274655731437,2675.4434277332907,318.9900884377683,34.94744185160208,0.0,0.988191099705807,0.6704440672148744,0.8165902700359592,-0.5748332805253139,0.47509803910783166,51,0.3252076950125167,-0.6070884865122758,234
BK1001,Bay Ridge,5.726157576488246,874.9322618314228,39.128014942917915,6.116179390144473,0.0238321450019914,-0.15756119588785014,-0.4014049830266416,-0.4001657370445246,-0.43702445561004405,-0.3490390928922651,173,-0.4383634118831924,-0.2569084930491196,212
BK1002,Dyker Heights,2.705246227082061,389.2436812067156,0.0,11.46640938557075,0.0,-0.46662831900988067,-0.5512621077548129,-0.17437179219386995,-0.5748332805253139,-0.4417738748709693,194,-0.4701361113769415,-0.0288286898433551,177
BK1061,Fort Hamilton,0.786398057351564,6.358103193742656,0.0,0.0,0.0138466393795002,-0.7102769218433594,-0.5512621077548129,-0.6582847848416395,-0.4947654099347742,-0.6036473060936465,241,-0.5251826603953285,0.2225233810866771,74
BK1091,Dyker Beach Park,0.928009408132604,17.24120451773884,0.0,0.0,0.0,-0.7033514783574807,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.6219329128698118,251,-0.5251826612949462,0.2117127187114382,91
BK1101,Bensonhurst,4.518319252560057,833.7170946620553,288.9879060316985,5.536469818331391,0.0,-0.1837883991909331,0.5555381411794542,-0.42463102380775863,-0.5748332805253139,-0.15692864058613787,121,0.1459571944799526,0.3426335632620891,36
BK1102,Bath Beach,1.909786642624276,856.6401939810091,0.0,7.859202174138293,0.0085617453375465,-0.1692013229404744,-0.5512621077548129,-0.3266055366981883,-0.5253251869780279,-0.3930985385928759,182,-0.5251826616437709,-0.4803987291352993,224
BK1103,Gravesend (West),3.143370453380542,602.2198236177255,190.10930249682303,6.366535665483848,0.0456309354826369,-0.3311013038514555,0.17684110672753928,-0.3896000359297467,-0.3109734559849197,-0.21370842225964565,137,-0.1050525434981222,0.2232811992016546,71
BK1201,Sunset Park (East)-Borough Park (West),1.091532339416656,852.9293786179081,202.59395250463857,8.250432454940032,0.0,-0.1715626941451165,0.2246563040008527,-0.31009457763235926,-0.5748332805253139,-0.20795856207548424,136,-0.2201196683809603,-0.0850243894049712,189
BK1202,Borough Park,3.760835200968727,643.208189334355,108.8484567534046,7.981903419717143,0.0,-0.3050184252768384,-0.13438134383258657,-0.3214272175790062,-0.5748332805253139,-0.3339150668034363,166,-0.0637976073743878,0.1738797663855898,114
BK1203,Kensington,1.62313140862152,1578.43042552903,229.1104504538069,14.178862154266552,0.0,0.2901086943450808,0.3262123411859704,-0.059899066462738286,-0.5748332805253139,-0.004602827864250231,99,-0.0393157878822467,-0.2851650888120288,217
BK1204,Mapleton-Midwood (West),2.913102889181429,656.3448229380133,167.3471607920951,7.900214897820581,0.0,-0.29665895026062816,0.0896639495550639,-0.32487469060798096,-0.5748332805253139,-0.27667574295971475,151,0.2266592890519444,0.5258808896082039,21
BK1301,Gravesend (South),2.400206505104639,299.1409274464483,96.84301494361723,3.335101676921816,0.0694362851677998,-0.5239650569958548,-0.18036121256169882,-0.5175346180723673,-0.17331957436682513,-0.34879511549918657,172,-0.282984308032072,0.2514295281998268,46
BK1302,Coney Island-Sea Gate,4.421130609978991,425.9091544931643,215.44889470682517,11.316328089124374,0.778783283828067,-0.4432963058668607,0.2738896903552807,-0.1807056223286299,3.928462969100271,0.8945876828150152,24,-0.0473656257826152,0.4062439245181699,29
BK1303,Brighton Beach,1.260143388347968,1144.3142211700556,274.74893849301657,23.027283895286345,0.3533324229937449,0.013859567364765851,0.5010040500031561,0.31352788010126165,1.4683032484427816,0.5741736864779913,43,0.0301808557479432,0.0061314152689973,170
BK1391,Calvert Vaux Park,0.39225871234106,2.54933789496184,0.0,0.0,0.1988779983831166,-0.7127006233271932,-0.5512621077548129,-0.6582847848416395,0.5751741257064,-0.3367683475543114,168,-0.52518265952473,0.2263067954401973,62
BK1401,Flatbush,2.231920519356411,4554.373648991384,82.03067871772143,55.59134428776999,0.0,2.1838452311748755,-0.23709125932123787,1.6878178942986821,-0.5748332805253139,0.7649346464067515,32,0.7092508173535605,-1.2787180696991078,249
BK1402,Flatbush (West)-Ditmas Park-Parkville,2.12791308108002,1751.0113703088252,382.6858697240125,11.285558382366924,0.0,0.3999302924567082,0.9143937450811338,-0.18200418584395575,-0.5748332805253139,0.13937164279214306,82,0.3504723408840098,0.0422318529207683,160
BK1403,Midwood,2.993192195868472,1070.4290905283356,144.3807138388539,9.025956002860088,0.0,-0.03315711303476121,0.0017043198458717571,-0.277365419940234,-0.5748332805253139,-0.22091287341360932,139,-0.0406235735125236,0.0447934477511917,158
BK1501,Gravesend (East)-Homecrest,3.240431268562889,640.9640655396887,133.30670504670908,5.249424345392339,0.0,-0.30644646973333994,-0.04070823594634787,-0.4367451067054728,-0.5748332805253139,-0.3396832732276186,170,-0.1848605060980934,0.1183043280665011,133
BK1502,Madison,2.543596938619133,820.8847747448276,136.1149321724829,5.113965779373999,0.0,-0.1919542246972644,-0.029952953745958872,-0.4424618186993946,-0.5748332805253139,-0.309800569416983,160,0.0375680510132909,0.2148143279224088,87
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,5.887278766406183,563.9277723596997,58.808264859030345,3.7391229055387303,0.1748530858344683,-0.3554683871902012,-0.3260312215244818,-0.5004838469670491,0.4362506269300754,-0.18643320718791417,128,-0.4198613442827,-0.0448730809459619,183
BK1601,Ocean Hill,1.866402265045356,1887.5887936807592,214.7444533284292,53.07466620952965,0.0,0.48684110940589276,0.2711917369921986,1.5816073815373939,-0.5748332805253139,0.4412017368525428,54,0.2594403840637894,-0.3125331618687449,218
BK1602,Brownsville,2.860121688287184,1286.308906039313,231.7549789096851,24.838791443957636,0.0,0.10421764968721478,0.3363406707533631,0.38997831978159186,-0.5748332805253139,0.06392583992421394,91,0.1667181124638127,0.0392269081192316,161
BK1701,East Flatbush-Erasmus,1.836784598307014,3404.8630447818355,199.3543193356219,74.08729670470395,0.0,1.4523560638068769,0.21224877163328698,2.468396311219015,-0.5748332805253139,0.8895419665334663,25,0.6926392967596326,-0.6995207261779417,239
BK1702,East Flatbush-Farragut,2.24099941013811,1135.207795455518,81.69778435563542,15.62742808475251,0.0,0.008064708457651877,-0.2383662177369205,0.0012342710013129698,-0.5748332805253139,-0.20097512970081738,134,-0.2022538429296543,-0.2162363911529464,207
BK1703,East Flatbush-Rugby,2.527450561203353,1147.401276414788,0.0,35.23442817463464,0.0,0.01582400985213305,-0.5512621077548129,0.8287018566501982,-0.5748332805253139,-0.07039238044444887,114,0.2435011727569757,0.1878602985956068,109
BK1704,East Flatbush-Remsen Village,1.708558797489589,2341.1544313706145,0.0,45.09403734454098,0.0,0.7754668510436851,-0.5512621077548129,1.2448036038763879,-0.5748332805253139,0.22354376665998657,74,0.6877971551688535,-0.1346898433147354,201
BK1771,Holy Cross Cemetery,0.39730754396463,10.067767553782208,0.0,0.0,0.0,-0.7079162830776075,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.6230741140498435,255,-0.5251826611954984,0.2188384081089405,83
BK1801,Flatlands,5.048084684212651,603.0009776816515,0.0,19.226714073100148,0.0,-0.3306042177578476,-0.5512621077548129,0.15313371880999535,-0.5748332805253139,-0.32589147180699474,162,-0.2128114197417622,0.0780440261112117,148
BK1802,Marine Park-Mill Basin-Bergen Beach,5.469318441597257,278.64532231459026,0.0,2.3783073289933494,0.0542954352167105,-0.5370074013445749,-0.5512621077548129,-0.5579138859569746,-0.2608711875264332,-0.4767636456456989,203,-0.5251826616437709,-0.0293723051165405,179
BK1803,Canarsie,6.552781866946321,437.52410170431295,14.849749428570249,13.74269869996212,0.0162988621079434,-0.4359051534639225,-0.4943887714624967,-0.07830632503503815,-0.4805854889663076,-0.3722964347319413,176,-0.2495140690733346,0.1486561021482398,123
BK1891,Marine Park-Plumb Island,4.042143326211217,5.195263578069045,0.0,0.0,0.2399799965461155,-0.7110168929050762,-0.5512621077548129,-0.6582847848416395,0.8128454753914225,-0.2769295775275265,152,-0.5251826616288714,0.2236784794025402,69
BK1892,McGuire Fields,0.98380196641436,10.164647298324445,0.0,0.0,0.7608871049061136,-0.7078546338127719,-0.5512621077548129,-0.6582847848416395,3.8249787301657667,0.4768943009391356,50,-0.5251826616045594,0.2187421728040616,84
BK1893,Canarsie Park & Pier,1.073225119949572,13.044793435936183,0.0,0.0,0.1424258860115358,-0.7060218575927141,-0.5512621077548129,-0.6582847848416395,0.24874109715348305,-0.41670691325892084,185,-0.5251826614731727,0.2158811975602226,85
BK5591,Prospect Park,2.538859631873218,25.20816794931652,82.75012611546943,0.0,0.0,-0.6982817143851654,-0.23433583412072706,-0.6582847848416395,-0.5748332805253139,-0.5414339034682115,226,-0.3732904519092736,0.3561122991463003,33
BK5691,Barren Island-Floyd Bennett Field,5.079594169026062,2.1655273303278655,0.0,0.0,0.1065001269720787,-0.7129448605437295,-0.5512621077548129,-0.6582847848416395,0.04100122996976861,-0.47037263079260333,201,-0.5251826614799526,0.2266880493385683,61
BK5692,Jamaica Bay (West),3.693157969741982,0.0,0.0,0.0,0.3213797353262363,-0.7143228902704439,-0.5512621077548129,-0.6582847848416395,1.2835375741832447,-0.1600830521709129,122,-0.5251826616276519,0.2288391623880568,54
BK5693,Shirley Chisholm State Park,1.698705817132086,0.0,0.0,0.0,0.0654778761221026,-0.7143228902704439,-0.5512621077548129,-0.6582847848416395,-0.19620898273002216,-0.5300196913992296,223,-0.525182661624049,0.2288391623916597,53
BX0101,Mott Haven-Port Morris,3.806730200512186,1686.22404580612,308.2699004015188,33.11896459655252,0.2276672674502223,0.35870298591170047,0.6293866162299129,0.7394236635834749,0.7416474053870938,0.6172901677780456,41,0.7009461144232698,0.3222687868307892,40
BX0102,Melrose,1.604621725629836,3169.5943777675548,342.2922183141899,38.66131723069257,0.0,1.3026432375729722,0.7596893353026437,0.9733256951009427,-0.5748332805253139,0.6152062468628111,42,0.7693353433407035,-0.5045922282144535,227
BX0201,Hunts Point,4.183205207764383,547.4271249590066,0.0,14.829801418590892,0.2595896468424788,-0.3659685468094035,-0.5512621077548129,-0.03242769710560371,0.9262378227489679,-0.005855132230213028,100,-0.293010567861902,0.0771665468861201,149
BX0202,Longwood,1.430416115718412,3814.274699540685,674.4371878405102,68.55175773176076,0.0,1.71288449160354,2.031777638242465,2.234781834337858,-0.5748332805253139,1.3511526709146373,9,1.5723736220498534,-0.092186992752697,192
BX0291,North & South Brother Islands,0.086461200041585,0.0,0.0,0.0,0.9382930102137071,-0.7143228902704439,-0.5512621077548129,-0.6582847848416395,4.850824256929146,0.7317386185155623,33,-0.5251826596803442,0.2288391643353645,49
BX0301,Morrisania,1.283127956409124,4104.8127536242555,0.0,76.42092699853556,0.0,1.8977679006752213,-0.5512621077548129,2.566881720316881,-0.5748332805253139,0.8346385581779939,28,0.8915287446173761,-0.9802000488214287,245
BX0302,Claremont Village-Claremont (East),0.928889737240658,2356.5767951130574,0.0,45.241968070946186,0.0,0.7852808466445029,-0.5512621077548129,1.251046674231907,-0.5748332805253139,0.22755803314907078,73,0.1105524767755717,-0.6121017087356131,235
BX0303,Crotona Park East,1.484496601729943,2824.5265062336484,246.65793481891183,43.81145111141472,0.071922825584328,1.0830598695645015,0.39341778355260704,1.1906750513774695,-0.15894121216411766,0.627052873082615,40,0.7699616567540577,-0.3688225816977877,220
BX0391,Crotona Park,0.588989195941252,37.352128276041185,0.0,0.0,0.0,-0.6905539253631108,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.6187335246212192,247,-0.5251826601867189,0.1926436832108327,106
BX0401,Concourse-Concourse Village,2.46224174832214,4656.732023901936,203.2395348437581,52.42254255132236,0.079419364806339,2.24898081336287,0.22712883201580253,1.5540860276062656,-0.11559264823794807,0.9786507561867475,20,0.2520459757874656,-1.8872221235105433,253
BX0402,Highbridge,1.212225159939162,6024.458360826726,0.0,117.20218152268887,0.1365745244010265,3.119331200493371,-0.5512621077548129,4.287959196021462,0.21490573455262488,1.7677335058281614,4,0.3396174250366301,-2.763319120528404,261
