NTACode,NTAName,complaint_count,area_km2,util_outage_density
BK0101,Greenpoint,30,3.2795402126438176,9.147623768825616
BK0102,Williamsburg,47,2.67890217871065,17.544500270861327
BK0103,South Williamsburg,21,1.4121094811348254,14.871368176866566
BK0104,East Williamsburg,57,4.8529287546106605,11.745484609854525
BK0201,Brooklyn Heights,20,0.9267955899964662,21.579731513478887
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,16,2.2033763669300606,7.261582832665406
BK0203,Fort Greene,65,1.6279417138435275,39.92771943077539
BK0204,Clinton Hill,16,1.3524635829606129,11.830263085513305
BK0261,Brooklyn Navy Yard,0,0.9383896969334365,0.0
BK0301,Bedford-Stuyvesant (West),145,3.426682864107859,42.31497507947848
BK0302,Bedford-Stuyvesant (East),204,3.8336630516736703,53.212814285005905
BK0401,Bushwick (West),77,2.1479796470688624,35.847639480697296
BK0402,Bushwick (East),168,2.5936309722785995,64.77405683215059
BK0471,The Evergreens Cemetery,0,0.5186015460904435,0.0
BK0501,Cypress Hills,69,2.26357744666779,30.482721102198127
BK0502,East New York (North),96,2.591144158054146,37.04927018498749
BK0503,East New York-New Lots,135,4.313542513723825,31.296782069607158
BK0504,Spring Creek-Starrett City,7,2.51495611335148,2.7833487681308533
BK0505,East New York-City Line,65,2.927481683835791,22.203384007114423
BK0571,Highland Park-Cypress Hills Cemeteries (South),0,0.7521732683710594,0.0
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,103,5.646077119629468,18.242754715819313
BK0602,Park Slope,35,2.3983693900447207,14.593248289975623
BK0701,Windsor Terrace-South Slope,11,1.4216817238784711,7.7373154731081755
BK0702,Sunset Park (West),39,4.677420937105261,8.337928213947777
BK0703,Sunset Park (Central),36,1.7412400620024489,20.674920584241285
BK0771,Green-Wood Cemetery,0,1.9591908011337806,0.0
BK0801,Prospect Heights,8,0.9571476616504924,8.358167000277584
BK0802,Crown Heights (North),188,3.2883172682921153,57.17209887646983
BK0891,Lincoln Terrace Park,0,0.11277467982647196,0.0
BK0901,Crown Heights (South),161,1.8619430906850367,86.46880820657397
BK0902,Prospect Lefferts Gardens-Wingate,78,2.2319230211817143,34.94744185160208
BK1001,Bay Ridge,35,5.722526722548151,6.116179390144473
