Join_Count,TARGET_FID,borocode,boroname,nta2020,ntaname,ntaabbrev,area_km2
1659,77,2,Bronx,BX0303,Crotona Park East,CrtnaPkEst,1.19
21,78,2,Bronx,BX0391,Crotona Park,CrtnaPk,0.84
3490,79,2,Bronx,BX0401,Concourse-Concourse Village,Cncrs,2.51
2481,80,2,Bronx,BX0402,Highbridge,Hghbrdg,1.13
3176,81,2,Bronx,BX0403,Mount Eden-Claremont (West),MtEdn,1.59
30,82,2,Bronx,BX0491,Yankee Stadium-Macombs Dam Park,YnkStdm,0.45
39,83,2,Bronx,BX0492,Claremont Park,ClrmntPk,0.45
3148,84,2,Bronx,BX0501,University Heights (South)-Morris Heights,UnvrsHts_S,2.27
2915,85,2,Bronx,BX0502,Mount Hope,MtHp,1.17
2083,86,2,Bronx,BX0503,Fordham Heights,FrdhmHts,0.88
967,87,2,Bronx,BX0601,West Farms,WstFrms,1.58
1926,88,2,Bronx,BX0602,Tremont,Trmnt,1.32
2025,89,2,Bronx,BX0603,Belmont,Blmnt,1.42
2878,90,2,Bronx,BX0701,University Heights (North)-Fordham,UnvrsHts_N,2.07
2902,91,2,Bronx,BX0702,Bedford Park,BdfrdPk,1.49
2077,92,2,Bronx,BX0703,Norwood,Nrwd,1.59
1645,93,2,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,KngbrdgHts,1.18
1087,94,2,Bronx,BX0802,Kingsbridge-Marble Hill,Kngbrdg,0.78
1884,95,2,Bronx,BX0803,Riverdale-Spuyten Duyvil,Rvrdl,1.35
2555,96,2,Bronx,BX0901,Soundview-Bruckner-Bronx River,Sdvw_BxRvr,1.84
913,97,2,Bronx,BX0902,Soundview-Clason Point,Sdvw_ClsPt,0.66
1008,98,2,Bronx,BX0903,Castle Hill-Unionport,CstlHl,3.03
628,99,2,Bronx,BX0904,Parkchester,Pkchstr,0.89
20,100,2,Bronx,BX0991,Soundview Park,SdvwPk,1.32
641,101,2,Bronx,BX1001,Westchester Square,WstchstrSq,0.46
1040,102,2,Bronx,BX1002,Throgs Neck-Schuylerville,ThrgsNck,0.75
868,103,2,Bronx,BX1003,Pelham Bay-Country Club-City Island,PlhmBy,3.05
297,104,2,Bronx,BX1004,Co-op City,CoopCty,1.81
