nta2020,flood_share
BK0101,0.19679812726078014
BK0102,0.1520432288708117
BK0103,0.02247058922942262
BK0104,0.05742946288480722
BK0201,0.0632855061872942
BK0202,0.04949601577431464
BK0203,0.0
BK0204,0.0
BK0261,0.594786769692425
BK0301,0.0
BK0302,0.0
BK0401,0.0
BK0402,0.0
BK0471,0.0
BK0501,0.0
BK0502,0.0
BK0503,0.0
BK0504,0.025929523239129313
BK0505,0.010760511176599397
BK0571,0.0
BK0601,0.37786959842608575
BK0602,0.0
BK0701,0.0
BK0702,0.18235882806255785
BK0703,0.0
BK0771,0.0
BK0801,0.0
BK0802,0.0
BK0891,0.0
BK0901,0.0
BK0902,0.0
BK1001,0.023832019601513495
BK1002,0.0
BK1061,0.013846638511393243
BK1091,0.0
BK1101,0.0
BK1102,0.00856173576403692
BK1103,0.04563070437946926
BK1201,0.0
BK1202,0.0
BK1203,0.0
BK1204,0.0
BK1301,0.06943610896264778
BK1302,0.7787836033283312
BK1303,0.35333229751097445
BK1391,0.19887807726223125
BK1401,0.0
BK1402,0.0
BK1403,0.0
BK1501,0.0
BK1502,0.0
BK1503,0.1748528214248169
BK1601,0.0
BK1602,0.0
BK1701,0.0
BK1702,0.0
BK1703,0.0
BK1704,0.0
BK1771,0.0
BK1801,0.0
BK1802,0.05429560998141368
BK1803,0.016298841146829716
BK1891,0.23997995903170435
BK1892,0.7608870892170506
BK1893,0.1424259924322038
BK5591,0.0
BK5691,0.10650015136278826
BK5692,0.32137933905339544
BK5693,0.06547779348620161
BX0101,0.22766742800071016
BX0102,0.0
BX0201,0.2595899014412359
BX0202,0.0
BX0291,0.9382929951230957
BX0301,0.0
BX0302,0.0
BX0303,0.07192296543890339
BX0391,0.0
BX0401,0.0794190680836863
BX0402,0.13658360784418505
BX0403,0.0
BX0491,0.0
BX0492,0.0
BX0501,0.046910941857450913
BX0502,0.0
BX0503,0.0
BX0601,0.031176304297324178
BX0602,0.0
BX0603,0.0
BX0701,0.008991388949790412
BX0702,0.0
BX0703,0.0
BX0801,0.0
BX0802,0.018874321291564727
BX0803,0.03915703926945189
BX0901,0.028956420366004498
