nta2020,traf_congestion_proxy
BK0101,0.1083451257385783
BK0102,0.1977711191715292
BK0103,0.3301789673134266
BK0104,0.12283837921117177
BK0201,0.18495436613442584
BK0202,0.3273433648172624
BK0261,0.3301789673134266
BK0301,0.4713156313447328
BK0302,0.4713156313447328
BK0401,0.3301789673134266
BK0402,0.3301789673134266
BK0601,0.1509859461166796
BK0702,0.0068058843422387555
BK1001,0.03133944052345729
BK1002,0.0016072951518729909
BK1061,0.06637193697211992
BK1091,0.06210026221830884
BK1101,0.031853778685090914
BK1102,0.06210026221830884
BK1204,0.0016072951518729909
BK1403,0.0016072951518729909
BK1801,0.0016072951518729909
BK1802,0.0016072951518729909
BK1892,0.0016072951518729909
BK5692,0.0016072951518729909
BX0101,0.11692574592882728
BX0401,0.058296199213630405
BX0402,0.2655674661836974
BX0403,0.28552303931390616
BX0491,0.058296199213630405
BX0501,0.3235060648528699
BX0502,0.28709905856988266
BX0601,0.01939103843474276
BX0802,0.012037184172890514
BX0901,0.04528283779526957
BX0902,0.012384628217647055
BX0903,0.07124501624771766
BX0904,0.1040728467334189
BX0991,0.012384628217647055
BX1001,0.0024255766832917704
BX1002,0.039316427459733884
BX1003,0.004643120798849905
BX1091,0.10025104072263966
BX1101,0.01939103843474276
BX2691,0.012037184172890514
BX2791,0.01939103843474276
MN0101,0.1461387255721976
MN0102,0.16659830462127426
MN0191,0.17312785542159598
MN0201,0.16659830462127426
MN0301,0.4523916878432364
MN0302,0.547335239360069
MN0303,0.547335239360069
MN0401,0.1563789034904009
MN0402,0.10508079138882279
MN0501,0.8968993595486088
MN0502,0.8968993595486088
MN0601,0.01891913230562738
MN0602,0.8968993595486088
MN0603,0.0612608103003352
MN0604,0.03795493755100776
MN0661,0.03795493755100776
MN0801,0.03795493755100776
MN1102,0.09628361169238935
MN1191,0.06743267143260177
MN1201,0.2784563615944282
MN1202,0.23219655768209355
MN1291,0.25572620091971743
MN1292,0.058296199213630405
QN0101,0.044738335690326425
QN0151,0.043782683637001045
QN0191,0.044738335690326425
QN0201,0.02764269111664415
QN0202,0.01891913230562738
QN0271,0.01891913230562738
QN0401,0.01891913230562738
QN0402,0.03959388895885607
QN0501,0.1083451257385783
QN0502,0.3301789673134266
QN0503,0.4724024993997116
QN0504,0.029613458523573593
QN0574,0.4724024993997116
QN0601,0.029613458523573593
QN0602,0.029613458523573593
QN0701,0.02007382947091014
QN0702,0.022951477943660058
QN0703,0.01916742754926387
QN0704,0.010152065687986774
QN0705,0.01021284811043004
QN0707,0.009584287761104962
QN0761,0.03241953773621985
QN0801,0.01891913230562738
QN0802,0.01891913230562738
QN0803,0.01891913230562738
QN0804,0.01891913230562738
QN0891,0.01891913230562738
QN0902,0.4487660600462234
QN0903,0.40149318133924716
QN0905,0.8968993595486088
QN1001,0.5014952482491362
QN1101,0.010707759498497277
QN1102,0.010707759498497277
QN1103,0.009064327081987544
QN1104,0.01891913230562738
QN1191,0.011359304411674778
QN1201,0.4487660600462234
QN1202,0.4487660600462234
QN1203,0.5687510437370437
QN1205,0.4724024993997116
QN1301,0.01456599020802871
QN1302,0.01579076327182858
QN1303,0.027627793685300286
QN1304,0.22522045760406112
QN1305,0.019257947013276537
QN1306,0.276325630353368
QN1307,0.08133609102455053
QN8191,0.1282509711483305
QN8291,0.4724024993997116
QN8381,0.30155230515544906
QN8491,0.0016072951518729909
SI0102,0.0016072951518729909
SI0103,0.05215638418986059
SI0104,0.039498975353568375
SI0105,0.06716154905175846
SI0106,0.0034835968992385693
SI0107,0.005476633601096447
SI0201,0.09276159519939993
SI0203,0.16906531997289476
SI0204,0.02499605241464775
SI0291,0.00557542630680577
SI0301,0.00772218952324897
SI0302,0.00772218952324897
SI0303,0.004805597870858323
SI0304,0.0022789425706472195
SI0305,0.0022789425706472195
SI0391,0.005190512088832046
SI9561,0.06210026221830884
SI9593,0.00772218952324897
